,OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
127930,127931,270371000000.0,270371000000.0,27,37,60725,1,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,396.155662,6.632164,389.523498,321.25127,1041,472.0,462.0,0.522,0,0.0,177,0.383116883,285,0.616883117,498,107,161,230,0.214859438,1452,539,21,213,594,85,539,21,213,321,85,251,22,0,483,295,674,0.332644628,1.469254892,3.240454116,4.51982649,1.677814379,0.065369391,0.663032398,1.849019928,0.264590394,1.677814379,0.065369391,0.663032398,0.99921784,0.264590394,0.781319868,0.06848222,0.0,5.989081382,0,3.142857143,0.772001707,0.772001707,0.810620079,0.758566089,0.834510642,0.703343271,0.754134427,0.426417604,0.835138387,0.510769231,0.342975207,0.518391364,16.26468528,0.862115699,4.051756015,11.35081356,69.5808087,4.929099297,13.14426479,9.858198593,64.07829086,8.215165494,497.56,0.0,0.0,16.0,26.28852958,0.015369837,202222,161746,14364,8720,0.000487339,0.590474021,0.000491108,0.678345258,5.83358e-05,0.022943744,6.51479e-05,0.021921665,19,18,11,15,14.83333333,6167.636115,1603219.199
127931,127932,270371000000.0,270371000000.0,27,37,60729,1,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,660.2687441,51.7133351,608.555409,500.06764,1523,580.0,580.0,0.63,0,0.0,155,0.267241379,425,0.732758621,893,169,201,523,0.18924972,910,30,667,7,201,5,30,90,7,45,5,150,6,577,338,130,442,0.371428571,1.159843096,3.045587993,1.819753824,0.059991884,1.333819561,0.013998106,0.401945625,0.009998647,0.059991884,0.179975653,0.013998106,0.089987826,0.009998647,0.299959421,0.011998377,1.153843908,2.97959692,0,1.568965517,0.45965461,0.45965461,0.565148874,0.565148874,0.625213412,0.667536429,0.73933004,0.74043658,0.748047678,0.99057127,0.981318681,0.981492096,11.42906903,0.795459395,2.770775916,7.862833721,38.22718467,3.155012628,11.56837963,3.155012628,37.86015153,2.103341752,1028.64,0.0,0.0,2.67,2.807961239,0.001753119,191058,157130,15586,11504,0.000460435,0.557875926,0.000477093,0.658986252,6.32986e-05,0.024895656,8.59474e-05,0.028920509,14,10,8,13,11.0,6741.669206,2672069.857
127932,127933,270371000000.0,270371000000.0,27,37,60732,3,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,401.9753612,38.9605041,363.0148571,363.01486,1504,466.0,466.0,0.618,0,0.0,39,0.083690987,427,0.916309013,907,189,138,580,0.208379272,261,0,0,119,104,38,0,0,119,11,38,93,0,0,55,54,152,0.210727969,1.283694006,4.143081085,0.718978832,0.0,0.0,0.327810272,0.286489649,0.10467891,0.0,0.0,0.327810272,0.03030179,0.10467891,0.25618786,0.0,0.0,2.002672838,0,0.560085837,0.915049206,0.624618257,0.822190399,0.548126933,0.731268202,0.608730994,0.623515368,0.994130324,0.295750708,0.446917808,3.475095785,0.084154929,15.57957287,2.06054557,0.912860654,12.60616665,51.73386056,5.289039725,1.763013242,1.763013242,54.65341049,12.34109269,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,119990,105202,-99999,-99999,0.000289167,0.350362363,0.000319424,0.441205828,-99999.0,-99999.0,-99999.0,-99999.0,17,10,10,1,8.166666667,5616.111848,1626772.088
127933,127934,270371000000.0,270371000000.0,27,37,60716,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,661.844995,63.1179885,598.7270065,541.495,1893,655.0,655.0,0.612,0,0.0,61,0.093129771,594,0.906870229,1155,222,244,689,0.192207792,1242,28,145,346,587,136,28,145,346,387,136,115,85,0,403,459,380,0.324476651,1.209614124,3.495877155,2.293649988,0.051708695,0.267777172,0.638971736,1.084035864,0.25115652,0.051708695,0.267777172,0.638971736,0.71468804,0.25115652,0.212374999,0.156972825,0.0,3.503264111,0,1.896183206,0.800704341,0.800704341,0.874488684,0.81833337,0.83058109,0.658338575,0.684007531,0.486457138,0.792344498,0.963704631,0.929951691,0.932348778,16.86415167,2.937671329,0.0,13.92648034,58.45896313,3.206803734,0.0,0.0,71.61861672,10.68934578,1090.33,0.0,0.0,16.0,17.10295325,0.008452192,170454,137711,14270,8794,0.000410781,0.497713695,0.000418131,0.577545063,5.7954e-05,0.022793597,6.57007e-05,0.022107698,19,19,10,13,14.0,9280.751665,2678453.206
127934,127935,270371000000.0,270371000000.0,27,37,60811,1,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,416.0869951,20.9204744,395.1665207,272.8155,1779,678.0,643.0,0.574,0,0.0,94,0.146189736,549,0.853810264,969,233,279,457,0.240454076,28,2,3,2,21,0,2,3,2,0,0,8,13,0,15,8,5,0.535714286,2.485196039,6.520890492,0.102633465,0.007330962,0.010996443,0.007330962,0.076975099,0.0,0.007330962,0.010996443,0.007330962,0.0,0.0,0.029323847,0.047651251,0.0,2.587829504,0,0.043545879,0.600221151,0.517002359,0.826673409,0.639825405,0.12931326,0.18711622,0.205680717,0.000124636,0.030990592,0.056168506,34.60714286,3e-15,16.81004826,0.137134629,1.560115303,15.11279832,68.0494895,0.0,12.9565632,3.2391408,69.6415272,9.7174224,608.87,0.0,0.0,1.33,2.154028632,0.000747611,149276,132295,9979,6381,0.000359744,0.435875424,0.000401686,0.554830944,4.05272e-05,0.015939545,4.7673e-05,0.01604153,2,13,11,15,11.16666667,6208.696066,1683881.695
127935,127936,270371000000.0,270371000000.0,27,37,60302,3,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,128.7751766,0.4311895,128.3439871,128.3439871,694,297.0,297.0,0.666,26,0.087542088,67,0.225589226,204,0.686868687,511,107,149,255,0.209393346,26,22,0,3,1,0,22,0,3,0,0,0,1,0,7,15,4,0.269230769,2.314093607,5.40734331,0.202580585,0.171414341,0.0,0.023374683,0.007791561,0.0,0.171414341,0.0,0.023374683,0.0,0.0,0.0,0.007791561,0.0,2.516674192,0,0.087542088,0.469534272,0.320507003,0.469534272,0.248064738,0.231913193,0.245595196,0.266509931,0.005140354,0.072222222,0.096834264,19.65384615,7.92023e-09,26.79936344,0.0,0.063155946,26.7362075,181.2329547,0.0,4.986599018,4.986599018,154.5845695,69.81238625,775.17,0.0,0.0,2.33,11.61877571,0.003357349,193906,159144,58828,33970,0.000467298,0.566191886,0.000483208,0.667432751,0.000238915,0.093966485,0.000253793,0.085398964,3,3,19,14,12.0,3227.469382,521145.2184
127936,127937,270371000000.0,270371000000.0,27,37,60824,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,324.9752947,0.425012,324.5502827,307.56347,1991,752.0,752.0,0.547,128,0.170212766,137,0.182180851,487,0.647606383,810,208,170,432,0.256790123,2798,9,1471,7,1043,268,9,521,7,178,268,27,838,950,634,624,1540,0.226590422,2.445023786,6.473460584,9.097309248,0.029262253,4.782752646,0.02275953,3.391169959,0.87136486,0.029262253,1.693959299,0.02275953,0.578742332,0.87136486,0.087786758,2.724640868,3.088793347,11.54233303,0,3.720744681,0.59896523,0.59896523,0.730486191,0.730486191,0.712241442,0.63923239,0.710395103,0.436319731,0.831488829,0.449002217,0.289492495,0.491394749,17.10967535,2.98225566,0.972420702,13.15499899,61.15637871,3.943918919,7.887837837,3.943918919,69.01858108,5.915878378,835.52,0.0,0.0,10.0,19.71959459,0.005022602,140964,124265,32426,31692,0.000339712,0.411604969,0.000377305,0.521153991,0.00013169,0.051794337,0.000236774,0.079672181,17,17,11,13,13.66666667,4866.326219,1315157.052
127937,127938,270371000000.0,270371000000.0,27,37,60302,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,211.1368189,6.007001,205.1298179,205.12982,2206,763.0,763.0,0.655,11,0.014416776,234,0.306684142,518,0.678899083,1001,207,312,482,0.206793207,35,0,0,3,25,7,0,0,3,1,7,11,13,0,20,9,6,0.571428571,3.719595717,10.75416534,0.170623657,0.0,0.0,0.014624885,0.121874041,0.034124731,0.0,0.0,0.014624885,0.004874962,0.034124731,0.053624578,0.063374501,0.0,3.890219374,0,0.04587156,0.703434919,0.480169033,0.84854442,0.656753043,0.154308419,0.237993846,0.261829235,0.001162792,0.031236055,0.067567568,28.6,1.032e-12,19.67595634,3.21435751,2.360353056,14.10124577,73.85605932,3.11997547,3.11997547,9.35992641,46.79963205,31.1997547,273.59,0.0,0.0,4.33,13.50949378,0.001962829,190787,157336,58808,33704,0.000459782,0.557084625,0.000477718,0.659850194,0.000238834,0.093934539,0.000251805,0.084730253,2,14,12,18,12.66666667,4546.463523,854459.3593
127938,127939,270371000000.0,270371000000.0,27,37,60102,3,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,87.839108,0.0,87.839108,87.839108,1078,418.0,418.0,0.693,57,0.136363636,179,0.428229665,182,0.435406699,541,129,152,260,0.23844732,118,0,0,0,33,85,0,0,0,18,85,3,12,0,60,49,9,0.508474576,4.758700418,12.27243792,1.34336519,0.0,0.0,0.0,0.375686875,0.967678315,0.0,0.0,0.0,0.204920114,0.967678315,0.034153352,0.136613409,0.0,6.102065608,0,0.282296651,0.854988511,0.368223509,0.612375266,0.408250177,0.59854099,0.534666102,0.595234549,0.983044072,0.197324415,0.358118361,4.584745763,0.02774372,25.42623782,0.0,0.0,25.42623782,150.6099083,0.0,0.0,0.0,94.71863034,87.43258185,0.0,0.0,0.0,2.33,16.97649298,0.00216141,238051,186582,238628,75564,0.000573684,0.695092182,0.000566517,0.78250476,0.000969128,0.381162617,0.000564545,0.189964302,13,6,18,20,15.83333333,2830.40216,355479.1704
127939,127940,270371000000.0,270371000000.0,27,37,61102,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,557.0437075,0.0,557.0437075,521.91458,1944,820.0,791.0,0.636,87,0.109987358,386,0.487989886,318,0.402022756,1038,258,323,457,0.248554913,1405,312,941,12,100,40,312,70,12,38,40,0,62,871,194,305,906,0.138078292,1.571138327,3.724747448,2.692011402,0.597798973,1.802977031,0.022992268,0.191602235,0.076640894,0.597798973,0.134121564,0.022992268,0.072808849,0.076640894,0.0,0.118793386,1.668855467,4.263149728,0,1.776232617,0.579529491,0.579529491,0.594766589,0.556573637,0.697797466,0.810800203,0.898523526,0.669508643,0.839056435,0.849774867,0.738790036,0.770119205,17.14935464,1.837357431,0.829883343,14.48211387,88.88063779,3.446767236,1.148922412,4.595689648,90.76487055,22.97844824,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,69677,67704,-99999,-99999,0.000167916,0.203451941,0.000205569,0.283943265,-99999.0,-99999.0,-99999.0,-99999.0,16,10,13,1,9.0,7451.804117,2254326.736
